"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"2018015148","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018068462","1","0","OK","7","7441HA      ","2025","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054244","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018040922","2","0","NJ","7","TTK63F ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018023138","1","0","ZZ","7","99999       ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018064171","1","0","NJ","7","TMU42S ","2022","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019008280","2","0","GA","7","WIJ739 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018033297","2","0","NJ","7","TCC75Y ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018137988","3","0","TN","7","U704197 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018137988","2","0","WI","7","656771      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018057498","1","0","NC","7","AC82243 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018018573","2","0","ME","7","B684655 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018018573","1","0","IN","7","P755558 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018025430","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018032161","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018034017","3","0","OH","7","ZC20963 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130240","2","0","IL","7","618986ST    ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018129890","2","0","FL","7","1045CQ      ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018030370","3","0","TN","7","U744515 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063939","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063939","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019076811","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018091097","1","0","NJ","7","632FXD      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018128747","3","0","IN","7","P827409 ","2010","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018115968","2","0","NJ","7","TPJ94L ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018109296","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018028641","1","0","MX","7","26TLR51090  ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018097316","2","0","KS","7","630889      ","2007","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018097204","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018103842","1","0","NS","7","PT67038 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018046143","1","0","MI","7","D491324 ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018127976","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018059114","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018080642","2","0","WV","7","C26122 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018072476","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018065586","2","0","PA","7","PT7471R ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063907","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018131294","2","0","PA","2","XDT2146 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018093718","1","0","TN","7","U012573 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018095329","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018031036","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136501","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018059050","1","0","ME","7","203164D     ","2029","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136305","1","0","ZZ","7","999999999999","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018003695","1","0","PA","7","PT4077Z ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018101499","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018098349","2","0","TN","7","U670880 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018047636","1","0","IL","5","314573L6    ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018055819","2","0","NJ","7","TMW75W ","2014","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018073245","1","0","PA","7","MG7118D ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018051011","2","0","PA","7","PT8581J ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136549","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018050614","2","0","PA","3","XKM4779 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018006512","1","0","NE","7","2433261     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054879","2","0","NJ","7","TTT80D ","2013","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018016805","3","0","ME","7","26-49807    ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054103","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019008278","1","0","ME","7","278885C     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019008286","2","0","PA","7","PT5227L ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130228","2","0","TN","7","T221617 ","2099","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018041763","1","0","NJ","3","TSR670 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018036612","1","0","PA","7","PT443A3 ","2030","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018089919","1","0","ME","7","1880283     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018095926","2","0","ZZ","7","9999999     ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018067450","2","0","","9","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018022183","2","0","IN","7","P590559 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018037253","1","0","ZA","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018029866","6","0","ZZ","7","999999999   ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019006094","1","0","MS","7","100054A     ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018120790","1","0","GA","7","WBP178 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018047064","2","0","NJ","6","TSM36V ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018114624","2","0","ME","7","2170772     ","1997","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018027792","2","0","IN","6","2139464     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136520","2","0","DE","7","T89860 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018080371","1","0","","3","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018076223","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018098386","1","0","ZZ","7","NONE ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018067568","3","0","PA","7","PT759A9 ","2002","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018066486","2","0","TN","7","U007936 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018068450","1","0","PA","7","PT844C2 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018110838","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018110829","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018044216","1","0","PA","7","PT007A3 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136812","1","0","ME","7","232868C     ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018109202","1","0","NJ","7","TRU94G ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018102108","1","0","ME","7","204549A     ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018068604","2","0","MD","3","40976TL     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018126575","1","0","ZF","3","5FZ2819     ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018033952","2","0","ZZ","7","999999      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088346","1","0","MI","7","DO69744 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018037189","2","0","ME","7","202962B     ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018102088","1","0","ME","7","2833710     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018104011","1","0","IN","7","P574750 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018090471","2","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088089","2","0","ME","7","214696D     ","2000","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018037328","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019017139","2","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018057620","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018062818","1","0","ME","7","22-7336B    ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018008701","1","0","ME","7","2549816     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018062059","1","0","IN","7","1898KP      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018088785","1","0","","6","UNKOWN ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018138186","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018107854","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018060530","1","0","NJ","7","TMP540 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
