"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008092037","1","N","N","U","Y","1","Y","Y","N","N","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050221","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050255","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050267","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050473","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050627","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050778","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050787","1","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008050843","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008051413","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008051612","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008051625","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008052213","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008052446","1","N","Y","Y","Y","1","Y","Y","Y","N","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008052919","1","N","N","U","Y","1","Y","Y","Y","Y","00600","N","Y","1","Y","Y","Y","Y","Y","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008052919","2","N","Y","Y","Y","1","Y","Y","Y","Y","01000","N","Y","1","Y","Y","Y","Y","Y","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008054070","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094801","1","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094805","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094814","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094820","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094835","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094840","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094841","2","","","","","","","","","","","","","","","","","","","","N","Y","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094847","2","N","U","N","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094857","1","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008094860","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095048","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095232","2","Y","Y","Y","U","0","","","Y","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095235","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095239","1","U","U","U","U","9","U","U","U","U","01000","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095240","1","U","N","U","N","0","","","Y","N","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095278","1","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095284","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095301","1","U","U","U","U","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095303","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095307","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095367","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095451","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095456","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095536","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095550","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095554","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095560","1","U","U","U","U","0","N","N","U","U","99999","","","","","","","","U","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095580","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095581","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095583","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095584","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095598","1","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095602","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095673","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095681","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095684","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095686","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095704","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095706","1","N","Y","Y","Y","1","Y","Y","Y","N","00600","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095718","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095720","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095722","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095912","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095913","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095914","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095918","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008095919","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096052","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096070","2","","","","","","","","","","","","","","","","","","U","","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096073","2","","","","","","","","","","","","","","","","","","","","U","Y","U","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096081","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096085","2","U","N","U","U","9","U","U","Y","N","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096087","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096092","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008096093","1","N","U","U","U","9","U","U","U","N","00900","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097404","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097405","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097408","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097409","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097422","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097429","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097441","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097443","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097444","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097454","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097456","1","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097457","1","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097484","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097490","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097524","1","U","U","N","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097528","2","U","U","N","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097567","2","U","U","U","Y","9","U","Y","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097589","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097842","1","Y","U","U","U","0","","","Y","U","01000","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097854","1","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097874","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097878","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097884","1","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097886","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097887","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097890","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097896","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097909","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008097911","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008098898","1","N","N","N","Y","1","Y","Y","Y","N","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099059","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099060","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099063","2","","","","","","","","","","","","","","","","","","","","N","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099220","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099225","1","N","N","N","N","0","N","N","N","N","99999","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099226","1","N","U","U","Y","1","Y","Y","Y","N","99999","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099227","2","U","U","U","U","1","U","U","Y","Y","99999","U","U","1","U","U","Y","Y","Y","U","Y","Y","Y","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099246","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099254","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099257","1","N","N","U","Y","0","U","U","Y","N","00250","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099262","1","Y","U","U","U","9","U","U","U","U","01340","","","","","","","","U","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099264","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099266","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099270","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099272","1","N","Y","N","Y","0","","","Y","Y","00900","","","","","","","","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099273","1","U","U","U","Y","1","Y","Y","Y","Y","01100","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099276","1","N","N","N","N","0","N","N","U","N","00650","","","","","","","","N","N","Y","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099293","2","","N","","N","0","","","Y","N","","N","N","0","","","Y","N","","","N","N","Y","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099299","1","U","Y","Y","Y","0","N","N","Y","N","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099301","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099593","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008099594","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008063157","2","N","Y","Y","Y","3","Y","Y","Y","Y","01200","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008063289","1","N","Y","U","Y","1","U","Y","Y","Y","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008063398","1","N","Y","Y","Y","1","Y","Y","Y","Y","01000","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008063502","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008073506","1","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008073924","2","U","Y","U","Y","3","U","U","Y","Y","00901","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008073984","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2008","67","CYCLE_2008_Philadelphia","67301"
"2008074468","1","N","N","U","Y","1","N","Y","Y","N","00600","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107695","1","Y","Y","U","U","3","Y","Y","Y","U","00883","","","","","","","","N","Y","Y","Y","N","N","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107752","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107754","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107893","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107905","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107934","2","","","","","","","","","","","","","","","","","","","","N","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107936","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107940","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107982","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107988","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107994","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008107998","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008108002","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008061187","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008062185","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008062186","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008136720","1","Y","Y","Y","Y","2","Y","Y","Y","Y","01100","U","U","9","U","U","U","U","N","N","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069471","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069531","1","","","","","","","","","","","","","","","","","","","","U","U","U","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069544","1","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069665","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2008","67","CYCLE_2008_Philadelphia","67301"
"2008069701","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2008","67","CYCLE_2008_Philadelphia","67301"
