time,cond,mCh,FITC,Dapi,both,Dapi+mCh,Dapi+Fitc,Dapi+Both
0,1,115,18,95,14,31,14,10
0,2,78,19,70,16,24,13,11
0,3,106,26,48,21,21,14,9
0,4,247,31,68,26,36,25,20
0,5,120,21,57,18,23,12,9
0,6,70,151,92,37,21,14,9
0,7,71,246,149,42,31,44,24
0,8,99,201,121,42,24,26,10
0,9,111,251,119,57,18,24,11
0,10,107,275,164,34,30,29,11
0,11,20,20,14,13,5,10,4
0,12,60,402,74,36,44,35,29
0,13,21,11,100,8,14,8,6
2,1,140,19,117,15,51,13,11
2,2,122,17,78,13,37,12,9
2,3,154,22,68,19,30,11,8
2,4,323,20,67,16,22,16,13
2,5,130,17,73,13,35,10,8
2,6,91,217,95,53,42,36,29
2,7,76,248,105,42,35,43,23
2,8,109,305,89,68,33,26,19
2,9,124,324,101,76,19,30,13
2,10,102,324,132,43,35,26,14
2,11,21,21,16,13,7,10,6
2,12,31,514,45,14,17,16,8
2,13,24,13,98,11,15,8,7
6,1,259,33,220,29,143,31,28
6,2,202,23,141,21,91,18,17
6,3,262,26,102,23,72,18,15
6,4,573,34,88,27,51,24,21
6,5,250,27,135,23,102,21,18
6,6,134,290,167,86,84,85,58
6,7,118,319,198,73,83,94,57
6,8,191,381,111,110,51,35,23
6,9,252,463,112,135,38,41,24
6,10,175,414,184,88,83,69,45
6,11,23,23,23,14,9,11,4
6,12,23,863,87,14,17,50,11
6,13,24,16,106,14,18,13,11
8,1,405,34,263,31,206,31,28
8,2,298,36,198,31,145,27,23
8,3,378,36,140,34,104,22,21
8,4,761,42,110,37,75,27,23
8,5,395,50,187,48,161,39,38
8,6,215,326,227,118,133,105,81
8,7,207,389,233,123,137,118,91
8,8,279,473,140,160,79,63,46
8,9,308,496,117,170,44,44,25
8,10,285,520,230,138,130,91,66
8,11,25,25,16,21,7,9,6
8,12,39,924,87,25,30,59,21
8,13,32,21,110,18,23,17,14
12,1,527,40,354,38,291,37,35
12,2,433,62,288,59,237,53,50
12,3,538,48,164,47,146,36,36
12,4,1005,53,123,48,101,34,30
12,5,513,73,276,73,246,62,62
12,6,297,376,304,168,216,166,134
12,7,283,429,315,151,194,154,116
12,8,328,527,177,181,124,90,72
12,9,376,626,161,193,74,66,44
12,10,408,595,286,190,201,117,97
12,11,27,27,24,21,7,10,5
12,12,38,1152,111,23,30,78,21
12,13,36,21,128,18,25,16,15