county,county,fips.code
ALAMEDA,Alameda,6001
AMADOR,Amador,6005
BUTTE,Butte,6007
CALAVERAS,Calaveras,6009
COLUSA,Colusa,6011
CONTRA COSTA,Contra Costa,6013
DEL NORTE,Del Norte,6015
EL DORADO,El Dorado,6017
FRESNO,Fresno,6019
GLENN,Glenn,6021
HUMBOLDT,Humboldt,6023
IMPERIAL,Imperial,6025
INYO,Inyo,6027
KERN,Kern,6029
KINGS,Kings,6031
LAKE,Lake,6033
LASSEN,Lassen,6035
LOS ANGELES,Los Angeles,6037
MADERA,Madera,6039
MARIN,Marin,6041
MARIPOSA,Mariposa,6043
MENDOCINO,Mendocino,6045
MERCED,Merced,6047
MODOC,Modoc,6049
MONO,Mono,6051
MONTEREY,Monterey,6053
NAPA,Napa,6055
NEVADA,Nevada,6057
ORANGE,Orange,6059
PLACER,Placer,6061
PLUMAS,Plumas,6063
RIVERSIDE,Riverside,6065
SACRAMENTO,Sacramento,6067
SAN BENITO,San Benito,6069
SAN BERNARDINO,San Bernardino,6071
SAN DIEGO,San Diego,6073
SAN FRANCISCO,San Francisco,6075
SAN JOAQUIN,San Joaquin,6077
SAN LUIS OBISPO,San Luis Obispo,6079
SAN MATEO,San Mateo,6081
SANTA BARBARA,Santa Barbara,6083
SANTA CLARA,Santa Clara,6085
SANTA CRUZ,Santa Cruz,6087
SHASTA,Shasta,6089
SISKIYOU,Siskiyou,6093
SOLANO,Solano,6095
SONOMA,Sonoma,6097
STANISLAUS,Stanislaus,6099
SUTTER,Sutter,6101
TEHAMA,Tehama,6103
TRINITY,Trinity,6105
TULARE,Tulare,6107
TUOLUMNE,Tuolumne,6109
VENTURA,Ventura,6111
YOLO,Yolo,6113
YUBA,Yuba,6115